epoch,accuracy,loss,val_accuracy,val_loss
0,0.3739274740219116,1.3317601680755615,0.4121037423610687,1.2916258573532104
1,0.6426792144775391,1.01914381980896,0.6340057849884033,0.9525583386421204
2,0.7791309356689453,0.6070323586463928,0.6945244669914246,0.7766187191009521
3,0.8414060473442078,0.4291985034942627,0.7089337110519409,0.7621349096298218
4,0.8771104216575623,0.33190181851387024,0.7002881765365601,0.8098063468933105
5,0.9075560569763184,0.27079278230667114,0.6858789920806885,0.8623030781745911
6,0.924162745475769,0.23092280328273773,0.6858789920806885,0.9058717489242554
7,0.9377248883247375,0.19418741762638092,0.6829971075057983,0.9535340666770935
8,0.950733482837677,0.16016951203346252,0.6743515729904175,1.0350524187088013
9,0.9568225741386414,0.14126263558864594,0.6887608170509338,1.0676766633987427
10,0.9598671197891235,0.1304824948310852,0.6858789920806885,1.1154698133468628
11,0.9656794667243958,0.11715741455554962,0.680115282535553,1.1543419361114502
12,0.9673401713371277,0.0999605730175972,0.6599423885345459,1.2164932489395142
13,0.9690008163452148,0.09831181913614273,0.6628242135047913,1.2629975080490112
14,0.972045361995697,0.08527956157922745,0.680115282535553,1.2896867990493774
15,0.972875714302063,0.08585713803768158,0.6772334575653076,1.3521405458450317
16,0.973706066608429,0.07958849519491196,0.6657060384750366,1.3636521100997925
17,0.975643515586853,0.07533257454633713,0.6714697480201721,1.397032618522644
18,0.9761970639228821,0.07412896305322647,0.680115282535553,1.4128681421279907
19,0.9778577089309692,0.06999865919351578,0.6685879230499268,1.445015788078308
20,0.9761970639228821,0.06784489750862122,0.6743515729904175,1.4657647609710693
21,0.9784113168716431,0.06420979648828506,0.6858789920806885,1.5202267169952393
22,0.9761970639228821,0.06168359890580177,0.6657060384750366,1.536997675895691
23,0.977027416229248,0.061852093786001205,0.680115282535553,1.5437915325164795
24,0.9789648652076721,0.06101671978831291,0.6829971075057983,1.5509213209152222
